# Table S1 Coseismic displacements at the GPS sites. First column shows the ID number. The second and third columns show the location of the reference GPS site, while the fourth and fifth columns show the location of the observation GPS site. EW is east-west, NS is north-south, and UD is up-down components in m. Error is described in Methods. 
# ID  Latitude(ref)  Longitude(ref)  Latitude  Longitude  EW (m)  NS (m)  UD (m)  
660  32.6694  128.8431  37.9899  140.4426  1.853  -0.2442  -0.1083  
661  32.6694  128.8431  40.325  140.5773  0.4476  -0.3863  0.0172  
662  32.6694  128.8431  40.2712  140.2637  0.4419  -0.3517  0.0154  
663  32.6694  128.8431  40.2154  140.7873  0.5185  -0.4699  0.0118  
664  32.6694  128.8431  40.2473  140.0487  0.4304  -0.3233  0.0244  
665  32.6694  128.8431  39.9361  140.1324  0.5857  -0.3896  0.0182  
666  32.6694  128.8431  39.7492  140.597  0.8426  -0.5646  -0.0046  
667  32.6694  128.8431  39.6583  140.2342  0.7835  -0.4654  0.0093  
668  32.6694  128.8431  39.5493  140.3866  0.9184  -0.5402  0.0123  
669  32.6694  128.8431  39.327  140.5598  1.201  -0.6684  -0.0177  
670  32.6694  128.8431  39.2061  139.9077  0.8922  -0.3931  0.0267  
671  32.6694  128.8431  39.1642  140.162  1.0778  -0.4999  0.0097  
672  32.6694  128.8431  39.0519  140.6296  1.5664  -0.7545  -0.0889  
673  32.6694  128.8431  39.1856  139.5477  0.7083  -0.2864  0.0338  
674  32.6694  128.8431  38.7597  139.9574  1.14  -0.3704  0.0004  
675  32.6694  128.8431  38.594  139.8318  1.0905  -0.2981  -0.0091  
676  32.6694  128.8431  38.1462  139.7423  1.0717  -0.1687  -0.0165  
677  32.6694  128.8431  37.9636  140.0935  1.3957  -0.1908  -0.0473  
678  32.6694  128.8431  38.1975  140.0776  1.375  -0.2447  -0.0294  
679  32.6694  128.8431  37.6833  140.4665  1.7889  -0.1732  -0.115  
680  32.6694  128.8431  37.5605  140.7551  2.1175  -0.2511  -0.2576  
681  32.6694  128.8431  37.5669  140.0727  1.2255  -0.0609  -0.0806  
682  32.6694  128.8431  37.4735  139.5286  0.7959  -0.0362  -0.0171  
683  32.6694  128.8431  37.3255  140.6621  1.7814  -0.201  -0.2628  
684  32.6694  128.8431  37.3028  139.3644  0.6752  -0.0076  -0.0143  
685  32.6694  128.8431  37.2815  139.5038  0.7293  -0.007  -0.0186  
686  32.6694  128.8431  37.2611  139.8714  0.9532  -0.0192  -0.0644  
687  32.6694  128.8431  37.1263  140.2599  1.2074  -0.0538  -0.093  



688  32.6694  128.8431  37.0893  140.5616  1.4984  -0.1556  -0.2556  
689  32.6694  128.8431  36.8621  140.4133  1.1944  -0.0846  -0.188  
690  32.6694  128.8431  36.6506  140.2934  0.9502  -0.0359  -0.1402  
691  32.6694  128.8431  36.8003  140.7539  1.4859  -0.2065  -0.4572  
692  32.6694  128.8431  36.3649  140.0779  0.6549  0.0306  -0.1166  
693  32.6694  128.8431  36.3444  140.4763  0.8871  -0.0465  -0.246  
694  32.6694  128.8431  36.8542  140.0393  0.897  0.001  -0.0804  
695  32.6694  128.8431  36.666  139.6192  0.5741  0.0471  -0.0424  
696  32.6694  128.8431  36.599  139.9235  0.668  0.032  -0.078  
697  32.6694  128.8431  36.7697  139.2249  0.4777  0.0411  -0.0227  
698  32.6694  128.8431  36.508  138.5527  0.2807  0.0472  -0.0046  
699  32.6694  128.8431  36.4216  139.3304  0.4115  0.0608  -0.0179  
700  32.6694  128.8431  35.9869  139.0757  0.2416  0.0516  -0.0075  
701  32.6694  128.8431  35.896  139.796  0.3266  0.0584  -0.0551  
702  32.6694  128.8431  35.6572  140.0481  0.1834  0.0244  -0.0972  
